127.0.0.1 - - [14/Jul/2023:12:14:16 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:21 -0300] "GET /aluguel HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:29 -0300] "GET /aluguel/ HTTP/1.1" 200 12544
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:29 -0300] "GET /aluguel/ HTTP/1.1" 200 12546
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:29 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:30 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=16179AA25248B7A0FDE3143556B2F466?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=css HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:31 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:32 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js;jsessionid=B91D5FD6B844E3F59D4338CC80D5AC02?ln=js HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:32 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:33 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:14:35 -0300] "GET /aluguel/faces/pages/recibos.xhtml;jsessionid=16179AA25248B7A0FDE3143556B2F466 HTTP/1.1" 200 1407
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:16:12 -0300] "GET /aluguel/ HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:16:16 -0300] "GET /aluguel/ HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:16:20 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4935
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:19:48 -0300] "GET /aluguel/ HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:19:50 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4935
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:21:11 -0300] "GET /aluguel/ HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:21:13 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 3767
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:22:02 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:22:03 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:24:27 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4995
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:24:28 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4995
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:25:20 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 3631
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:25:54 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 2462
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:26:32 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1627
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:00 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:05 -0300] "GET /aluguel/ HTTP/1.1" 200 11887
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:31:07 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:12:32:03 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:08:19 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:14:01 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 500 4999
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:15:22 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1629
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:16:24 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [14/Jul/2023:13:16:25 -0300] "GET /aluguel/faces/pages/recibos.xhtml HTTP/1.1" 200 1401
